"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:1990138","neuron projection extension","BP",139,46,82,0.468891423618493,0.0293870142554309
"GO:0003179","heart valve morphogenesis","BP",32,16,19,0.0294763416821784,0.209398360806341
"GO:0060425","lung morphogenesis","BP",32,16,18,0.0294763416821784,0.324870641497001
"GO:0072595","maintenance of protein localization in organelle","BP",32,16,22,0.0294763416821784,0.0296627143974395
"GO:0032007","negative regulation of TOR signaling","BP",32,16,22,0.0294763416821784,0.0296627143974395
"GO:0032735","positive regulation of interleukin-12 production","BP",32,16,22,0.0294763416821784,0.0296627143974395
"GO:0006858","extracellular transport","BP",37,18,23,0.0295062529298762,0.10793637592425
"GO:0050856","regulation of T cell receptor signaling pathway","BP",37,18,23,0.0295062529298762,0.10793637592425
"GO:0060706","cell differentiation involved in embryonic placenta development","BP",13,8,6,0.0295434673405448,0.725974836883321
"GO:0008211","glucocorticoid metabolic process","BP",13,8,8,0.0295434673405448,0.307346567203924
"GO:1902894","negative regulation of miRNA transcription","BP",13,8,10,0.0295434673405448,0.0509032747436662
"GO:0050862","positive regulation of T cell receptor signaling pathway","BP",13,8,9,0.0295434673405448,0.144034478926858
"GO:0003177","pulmonary valve development","BP",13,8,10,0.0295434673405448,0.0509032747436662
"GO:0006623","protein targeting to vacuole","BP",32,11,22,0.474459425562061,0.0296627143974395
"GO:0032233","positive regulation of actin filament bundle assembly","BP",44,15,29,0.464942683241509,0.0297209514859384
"GO:0001836","release of cytochrome c from mitochondria","BP",44,19,29,0.0891394355204032,0.0297209514859384
"GO:1901607","alpha-amino acid biosynthetic process","BP",55,25,33,0.0299604967936875,0.105050688591284
"GO:0002088","lens development in camera-type eye","BP",55,25,32,0.0299604967936875,0.163118538037172
"GO:0021680","cerebellar Purkinje cell layer development","BP",22,10,16,0.141923292711487,0.030175034662896
"GO:0043153","entrainment of circadian clock by photoperiod","BP",22,9,16,0.263116474878903,0.030175034662896
"GO:0051560","mitochondrial calcium ion homeostasis","BP",22,7,16,0.605072216648863,0.030175034662896
"GO:0006515","protein quality control for misfolded or incompletely synthesized proteins","BP",22,8,16,0.425222992938456,0.030175034662896
"GO:1901031","regulation of response to reactive oxygen species","BP",22,9,16,0.263116474878903,0.030175034662896
"GO:0060390","regulation of SMAD protein signal transduction","BP",22,10,16,0.141923292711487,0.030175034662896
"GO:0006814","sodium ion transport","BP",187,67,108,0.181463086767842,0.0301867024432504
"GO:0006694","steroid biosynthetic process","BP",114,47,65,0.0301917687700389,0.102428037433778
"GO:0032890","regulation of organic acid transport","BP",51,16,33,0.61802547016893,0.0302216482984857
"GO:0070646","protein modification by small protein removal","BP",130,49,77,0.119193214968508,0.0303092244407427
"GO:0002685","regulation of leukocyte migration","BP",152,43,89,0.884070438839996,0.0303954363001972
"GO:0030336","negative regulation of cell migration","BP",220,85,120,0.030455743908305,0.137735458778631
"GO:0098751","bone cell development","BP",27,12,19,0.131313875736485,0.0304851805091389
"GO:0006884","cell volume homeostasis","BP",27,13,19,0.065249380713606,0.0304851805091389
"GO:0030890","positive regulation of B cell proliferation","BP",27,7,19,0.823413099320522,0.0304851805091389
"GO:0010762","regulation of fibroblast migration","BP",27,11,19,0.234440977514501,0.0304851805091389
"GO:0002861","regulation of inflammatory response to antigenic stimulus","BP",27,11,19,0.234440977514501,0.0304851805091389
"GO:0140448","signaling receptor ligand precursor processing","BP",27,13,19,0.065249380713606,0.0304851805091389
"GO:0034101","erythrocyte homeostasis","BP",110,33,66,0.741802716620857,0.0305282264922599
"GO:0002275","myeloid cell activation involved in immune response","BP",74,25,46,0.447361395430253,0.0305820725483442
"GO:0009408","response to heat","BP",74,32,46,0.0335650028929126,0.0305820725483442
"GO:0002312","B cell activation involved in immune response","BP",63,28,37,0.0309544327244251,0.123585564136648
"GO:1901292","nucleoside phosphate catabolic process","BP",63,28,39,0.0309544327244251,0.0478339502925227
"GO:0035116","embryonic hindlimb morphogenesis","BP",20,11,14,0.0310021398510298,0.0647487527550452
"GO:0034643","establishment of mitochondrion localization, microtubule-mediated","BP",20,11,14,0.0310021398510298,0.0647487527550452
"GO:0032607","interferon-alpha production","BP",20,11,13,0.0310021398510298,0.144631898579246
"GO:0051307","meiotic chromosome separation","BP",20,11,12,0.0310021398510298,0.271105055153594
"GO:0047497","mitochondrion transport along microtubule","BP",20,11,14,0.0310021398510298,0.0647487527550452
"GO:0033119","negative regulation of RNA splicing","BP",20,11,14,0.0310021398510298,0.0647487527550452
"GO:0045830","positive regulation of isotype switching","BP",20,11,11,0.0310021398510298,0.435368369405428
"GO:1901798","positive regulation of signal transduction by p53 class mediator","BP",20,11,13,0.0310021398510298,0.144631898579246
"GO:0032986","protein-DNA complex disassembly","BP",20,11,14,0.0310021398510298,0.0647487527550452
"GO:0032647","regulation of interferon-alpha production","BP",20,11,13,0.0310021398510298,0.144631898579246
"GO:0032612","interleukin-1 production","BP",87,37,51,0.031011899185475,0.0834820579501568
"GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",87,37,49,0.031011899185475,0.170940635384263
"GO:0032652","regulation of interleukin-1 production","BP",87,37,51,0.031011899185475,0.0834820579501568
"GO:0051101","regulation of DNA binding","BP",83,30,51,0.271552643830005,0.031105542837559
"GO:0007224","smoothened signaling pathway","BP",106,44,61,0.0311567202421694,0.0925620979216083
"GO:0061041","regulation of wound healing","BP",92,31,56,0.439023152456929,0.0312013822984484
"GO:0042633","hair cycle","BP",79,34,40,0.0313427924031598,0.54713848257177
"GO:0042303","molting cycle","BP",79,34,40,0.0313427924031598,0.54713848257177
"GO:0009988","cell-cell recognition","BP",50,23,28,0.0314109184708236,0.269895982232606
"GO:0032680","regulation of tumor necrosis factor production","BP",132,53,78,0.0376812633352743,0.0314688492503216
"GO:0032640","tumor necrosis factor production","BP",132,53,78,0.0376812633352743,0.0314688492503216
"GO:0048705","skeletal system morphogenesis","BP",143,52,84,0.181116656712888,0.0315319969803655
"GO:0030641","regulation of cellular pH","BP",67,24,42,0.319762126221807,0.0316994713789287
"GO:0070588","calcium ion transmembrane transport","BP",230,80,131,0.245732843413313,0.0317181526946172
"GO:0090303","positive regulation of wound healing","BP",39,16,26,0.165254492738225,0.0320112733968305
"GO:0070849","response to epidermal growth factor","BP",39,11,26,0.767307873787706,0.0320112733968305
"GO:0002438","acute inflammatory response to antigenic stimulus","BP",14,6,11,0.28539124761143,0.0320345818452631
"GO:0008340","determination of adult lifespan","BP",14,6,11,0.28539124761143,0.0320345818452631
"GO:0009084","glutamine family amino acid biosynthetic process","BP",14,6,11,0.28539124761143,0.0320345818452631
"GO:0019370","leukotriene biosynthetic process","BP",14,3,11,0.882021971534694,0.0320345818452631
"GO:0043011","myeloid dendritic cell differentiation","BP",14,8,11,0.0496211452096868,0.0320345818452631
"GO:0033147","negative regulation of intracellular estrogen receptor signaling pathway","BP",14,4,11,0.716010423809947,0.0320345818452631
"GO:0035357","peroxisome proliferator activated receptor signaling pathway","BP",14,7,11,0.133202317380187,0.0320345818452631
"GO:0045842","positive regulation of mitotic metaphase/anaphase transition","BP",14,4,11,0.716010423809947,0.0320345818452631
"GO:1901970","positive regulation of mitotic sister chromatid separation","BP",14,4,11,0.716010423809947,0.0320345818452631
"GO:2000651","positive regulation of sodium ion transmembrane transporter activity","BP",14,5,11,0.496477495704841,0.0320345818452631
"GO:0036508","protein alpha-1,2-demannosylation","BP",14,5,11,0.496477495704841,0.0320345818452631
"GO:0036507","protein demannosylation","BP",14,5,11,0.496477495704841,0.0320345818452631
"GO:0006349","regulation of gene expression by genomic imprinting","BP",14,8,11,0.0496211452096868,0.0320345818452631
"GO:0060334","regulation of interferon-gamma-mediated signaling pathway","BP",14,7,11,0.133202317380187,0.0320345818452631
"GO:0060330","regulation of response to interferon-gamma","BP",14,7,11,0.133202317380187,0.0320345818452631
"GO:0008406","gonad development","BP",156,45,91,0.854636286801696,0.0324077303168908
"GO:0030307","positive regulation of cell growth","BP",123,50,73,0.0339880653511083,0.0324184479918003
"GO:0071456","cellular response to hypoxia","BP",103,39,62,0.143169987820389,0.0324753011770459
"GO:0002027","regulation of heart rate","BP",76,28,47,0.241763720116031,0.0325814690345898
"GO:0002366","leukocyte activation involved in immune response","BP",206,75,118,0.127687009353485,0.0327135140641947
"GO:0035825","homologous recombination","BP",45,21,28,0.0327262918540413,0.0797717455671137
"GO:1903409","reactive oxygen species biosynthetic process","BP",45,21,29,0.0327262918540413,0.0436987845338364
"GO:1900076","regulation of cellular response to insulin stimulus","BP",45,21,27,0.0327262918540413,0.134468205212519
"GO:0002821","positive regulation of adaptive immune response","BP",90,38,52,0.032762673307385,0.105952929968155
"GO:2000146","negative regulation of cell motility","BP",232,89,127,0.0328040181722761,0.118202508873497
"GO:0007173","epidermal growth factor receptor signaling pathway","BP",85,31,52,0.247895809706328,0.032913555731583
"GO:0003208","cardiac ventricle morphogenesis","BP",46,20,30,0.0772504081645303,0.0329909859754188
"GO:0070265","necrotic cell death","BP",46,20,30,0.0772504081645303,0.0329909859754188
"GO:0009838","abscission","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:1900619","acetate ester metabolic process","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0008291","acetylcholine metabolic process","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0032237","activation of store-operated calcium channel activity","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0019694","alkanesulfonate metabolic process","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0044209","AMP salvage","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0006528","asparagine metabolic process","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0006657","CDP-choline pathway","BP",5,4,5,0.041103215404835,0.0333608471932979
"GO:0071476","cellular hypotonic response","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0071681","cellular response to indole-3-methanol","BP",5,4,5,0.041103215404835,0.0333608471932979
"GO:0021683","cerebellar granular layer morphogenesis","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0021957","corticospinal tract morphogenesis","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0051103","DNA ligation involved in DNA repair","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0097680","double-strand break repair via classical nonhomologous end joining","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0042726","flavin-containing compound metabolic process","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0061535","glutamate secretion, neurotransmission","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0032263","GMP salvage","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0002349","histamine production involved in inflammatory response","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0002553","histamine secretion by mast cell","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0002441","histamine secretion involved in inflammatory response","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0044648","histone H3-K4 dimethylation","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0051454","intracellular pH elevation","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0006102","isocitrate metabolic process","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0006552","leucine catabolic process","BP",5,4,5,0.041103215404835,0.0333608471932979
"GO:0051793","medium-chain fatty acid catabolic process","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0070995","NADPH oxidation","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0010754","negative regulation of cGMP-mediated signaling","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:2000002","negative regulation of DNA damage checkpoint","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:1904293","negative regulation of ERAD pathway","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:2000192","negative regulation of fatty acid transport","BP",5,0,5,1,0.0333608471932979
"GO:0045719","negative regulation of glycogen biosynthetic process","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:1903944","negative regulation of hepatocyte apoptotic process","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0061086","negative regulation of histone H3-K27 methylation","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0043305","negative regulation of mast cell degranulation","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0010757","negative regulation of plasminogen activation","BP",5,0,5,1,0.0333608471932979
"GO:0045875","negative regulation of sister chromatid cohesion","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0044857","plasma membrane raft organization","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0071051","polyadenylation-dependent snoRNA 3'-end processing","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0002866","positive regulation of acute inflammatory response to antigenic stimulus","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:1902732","positive regulation of chondrocyte proliferation","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:2001137","positive regulation of endocytic recycling","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:1901203","positive regulation of extracellular matrix assembly","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0033601","positive regulation of mammary gland epithelial cell proliferation","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0070257","positive regulation of mucus secretion","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0060050","positive regulation of protein glycosylation","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0070172","positive regulation of tooth mineralization","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:1901662","quinone catabolic process","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0060558","regulation of calcidiol 1-monooxygenase activity","BP",5,0,5,1,0.0333608471932979
"GO:0043376","regulation of CD8-positive, alpha-beta T cell differentiation","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0045188","regulation of circadian sleep/wake cycle, non-REM sleep","BP",5,0,5,1,0.0333608471932979
"GO:1904959","regulation of cytochrome-c oxidase activity","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:1905774","regulation of DNA helicase activity","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:2000416","regulation of eosinophil migration","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0000414","regulation of histone H3-K36 methylation","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0010990","regulation of SMAD protein complex assembly","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:2000152","regulation of ubiquitin-specific protease activity","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0072716","response to actinomycin D","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0045472","response to ether","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0048254","snoRNA localization","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0006105","succinate metabolic process","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0070142","synaptic vesicle budding","BP",5,3,5,0.197173005232056,0.0333608471932979
"GO:0019530","taurine metabolic process","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0099542","trans-synaptic signaling by endocannabinoid","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0099541","trans-synaptic signaling by lipid","BP",5,1,5,0.859555406334218,0.0333608471932979
"GO:0006011","UDP-glucose metabolic process","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0014832","urinary bladder smooth muscle contraction","BP",5,2,5,0.521870747568021,0.0333608471932979
"GO:0022038","corpus callosum development","BP",11,7,5,0.0334392628607351,0.740395728447948
"GO:0098543","detection of other organism","BP",11,7,8,0.0334392628607351,0.121988293441932
"GO:0002031","G protein-coupled receptor internalization","BP",11,7,8,0.0334392628607351,0.121988293441932
"GO:0034969","histone arginine methylation","BP",11,7,5,0.0334392628607351,0.740395728447948
"GO:0070307","lens fiber cell development","BP",11,7,7,0.0334392628607351,0.289508363180671
"GO:0039530","MDA-5 signaling pathway","BP",11,7,7,0.0334392628607351,0.289508363180671
"GO:0072393","microtubule anchoring at microtubule organizing center","BP",11,7,8,0.0334392628607351,0.121988293441932
"GO:0051044","positive regulation of membrane protein ectodomain proteolysis","BP",11,7,6,0.0334392628607351,0.517942133900504
"GO:0003184","pulmonary valve morphogenesis","BP",11,7,8,0.0334392628607351,0.121988293441932
"GO:0060628","regulation of ER to Golgi vesicle-mediated transport","BP",11,7,6,0.0334392628607351,0.517942133900504
"GO:0051340","regulation of ligase activity","BP",11,7,9,0.0334392628607351,0.0360107339932743
"GO:0048548","regulation of pinocytosis","BP",11,7,9,0.0334392628607351,0.0360107339932743
"GO:0002517","T cell tolerance induction","BP",11,7,7,0.0334392628607351,0.289508363180671
"GO:0014066","regulation of phosphatidylinositol 3-kinase signaling","BP",66,29,34,0.0334460333793633,0.49407317538674
"GO:0035909","aorta morphogenesis","BP",25,13,16,0.0335672350675401,0.128044865974366
"GO:0015740","C4-dicarboxylate transport","BP",25,13,10,0.0335672350675401,0.897784680789897
"GO:2000515","negative regulation of CD4-positive, alpha-beta T cell activation","BP",25,13,14,0.0335672350675401,0.369905570566056
"GO:0008214","protein dealkylation","BP",25,13,17,0.0335672350675401,0.061417935359489
"GO:0006482","protein demethylation","BP",25,13,17,0.0335672350675401,0.061417935359489
"GO:0060306","regulation of membrane repolarization","BP",25,13,17,0.0335672350675401,0.061417935359489
"GO:0090313","regulation of protein targeting to membrane","BP",25,13,14,0.0335672350675401,0.369905570566056
"GO:0055076","transition metal ion homeostasis","BP",101,42,59,0.0335878419083683,0.071529426920599
"GO:0048168","regulation of neuronal synaptic plasticity","BP",40,19,26,0.0338026928147329,0.0480032695179981
"GO:0035176","social behavior","BP",40,19,22,0.0338026928147329,0.348413419863948
"GO:0046939","nucleotide phosphorylation","BP",69,19,43,0.842610805071509,0.0339484190254045
"GO:0030866","cortical actin cytoskeleton organization","BP",34,14,23,0.182366007726014,0.0341514366157808
"GO:0034243","regulation of transcription elongation from RNA polymerase II promoter","BP",34,8,23,0.905937294371414,0.0341514366157808
"GO:0070741","response to interleukin-6","BP",34,8,23,0.905937294371414,0.0341514366157808
"GO:0002477","antigen processing and presentation of exogenous peptide antigen via MHC class Ib","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0006420","arginyl-tRNA aminoacylation","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0006421","asparaginyl-tRNA aminoacylation","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0055009","atrial cardiac muscle tissue morphogenesis","BP",3,3,1,0.0342102573319572,0.879923962851371
"GO:1905222","atrioventricular canal morphogenesis","BP",3,3,1,0.0342102573319572,0.879923962851371
"GO:0071376","cellular response to corticotropin-releasing hormone stimulus","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0071307","cellular response to vitamin K","BP",3,3,1,0.0342102573319572,0.879923962851371
"GO:0022009","central nervous system vasculogenesis","BP",3,3,1,0.0342102573319572,0.879923962851371
"GO:0042426","choline catabolic process","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0019695","choline metabolic process","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0035844","cloaca development","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0043686","co-translational protein modification","BP",3,3,1,0.0342102573319572,0.879923962851371
"GO:0002159","desmosome assembly","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0071910","determination of liver left/right asymmetry","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0035469","determination of pancreatic left/right asymmetry","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0006489","dolichyl diphosphate biosynthetic process","BP",3,3,1,0.0342102573319572,0.879923962851371
"GO:0046465","dolichyl diphosphate metabolic process","BP",3,3,1,0.0342102573319572,0.879923962851371
"GO:0021943","formation of radial glial scaffolds","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0022027","interkinetic nuclear migration","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0035722","interleukin-12-mediated signaling pathway","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:1904273","L-alanine import across plasma membrane","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0019086","late viral transcription","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0060596","mammary placode formation","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0098912","membrane depolarization during atrial cardiac muscle cell action potential","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0021815","modulation of microtubule cytoskeleton involved in cerebral cortex radial glia guided migration","BP",3,3,1,0.0342102573319572,0.879923962851371
"GO:0002769","natural killer cell inhibitory signaling pathway","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0002519","natural killer cell tolerance induction","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0038108","negative regulation of appetite by leptin-mediated signaling pathway","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:1905246","negative regulation of aspartic-type peptidase activity","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0051490","negative regulation of filopodium assembly","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0033087","negative regulation of immature T cell proliferation","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0033088","negative regulation of immature T cell proliferation in thymus","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0071659","negative regulation of IP-10 production","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0072201","negative regulation of mesenchymal cell proliferation","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0090258","negative regulation of mitochondrial fission","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:1905765","negative regulation of protection from non-homologous end joining at telomere","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:2000524","negative regulation of T cell costimulation","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:1904506","negative regulation of telomere maintenance in response to DNA damage","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0035811","negative regulation of urine volume","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0039689","negative stranded viral RNA replication","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0018211","peptidyl-tryptophan modification","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0046726","positive regulation by virus of viral protein levels in host cell","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0060168","positive regulation of adenosine receptor signaling pathway","BP",3,3,0,0.0342102573319572,1
"GO:1905451","positive regulation of Fc-gamma receptor signaling pathway involved in phagocytosis","BP",3,3,0,0.0342102573319572,1
"GO:0035332","positive regulation of hippo signaling","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0002885","positive regulation of hypersensitivity","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:1902474","positive regulation of protein localization to synapse","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0018103","protein C-linked glycosylation","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0018406","protein C-linked glycosylation via 2'-alpha-mannosyl-L-tryptophan","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0018317","protein C-linked glycosylation via tryptophan","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0072014","proximal tubule development","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0070602","regulation of centromeric sister chromatid cohesion","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:1905749","regulation of endosome to plasma membrane protein transport","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:1902044","regulation of Fas signaling pathway","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0090107","regulation of high-density lipoprotein particle assembly","BP",3,3,1,0.0342102573319572,0.879923962851371
"GO:0099152","regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:2001245","regulation of phosphatidylcholine biosynthetic process","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:1905764","regulation of protection from non-homologous end joining at telomere","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0099576","regulation of protein catabolic process at postsynapse, modulating synaptic transmission","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:2000523","regulation of T cell costimulation","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:1904505","regulation of telomere maintenance in response to DNA damage","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0150111","regulation of transepithelial transport","BP",3,3,1,0.0342102573319572,0.879923962851371
"GO:0002892","regulation of type II hypersensitivity","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0001796","regulation of type IIa hypersensitivity","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0043435","response to corticotropin-releasing hormone","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0003285","septum secundum development","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0097577","sequestering of iron ion","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0016185","synaptic vesicle budding from presynaptic endocytic zone membrane","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0060715","syncytiotrophoblast cell differentiation involved in labyrinthine layer development","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0061819","telomeric DNA-containing double minutes formation","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0023021","termination of signal transduction","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0000379","tRNA-type intron splice site recognition and cleavage","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0002445","type II hypersensitivity","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0001794","type IIa hypersensitivity","BP",3,3,3,0.0342102573319572,0.130018531988015
"GO:0070471","uterine smooth muscle contraction","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0006574","valine catabolic process","BP",3,3,1,0.0342102573319572,0.879923962851371
"GO:0055005","ventricular cardiac myofibril assembly","BP",3,3,2,0.0342102573319572,0.509942317235486
"GO:0097529","myeloid leukocyte migration","BP",160,45,93,0.897725121460513,0.0344495692529107
"GO:0042551","neuron maturation","BP",35,17,19,0.0344836286703541,0.397980070351553
"GO:0032008","positive regulation of TOR signaling","BP",35,17,22,0.0344836286703541,0.100742329794639
"GO:0009261","ribonucleotide catabolic process","BP",35,17,22,0.0344836286703541,0.100742329794639
"GO:0035036","sperm-egg recognition","BP",35,17,20,0.0344836286703541,0.275317217950879
"GO:0061383","trabecula morphogenesis","BP",35,17,17,0.0344836286703541,0.661534602398319
"GO:0003158","endothelium development","BP",93,39,49,0.0344978534956403,0.387067148575511
"GO:0009582","detection of abiotic stimulus","BP",96,36,58,0.171554402800929,0.034499577937247
"GO:0009581","detection of external stimulus","BP",96,36,58,0.171554402800929,0.034499577937247
"GO:0009132","nucleoside diphosphate metabolic process","BP",96,37,58,0.122753993435782,0.034499577937247
"GO:0006612","protein targeting to membrane","BP",96,33,58,0.381129830032382,0.034499577937247
"GO:0043276","anoikis","BP",30,15,20,0.0345296675015866,0.0571066418747778
"GO:0006891","intra-Golgi vesicle-mediated transport","BP",30,15,18,0.0345296675015866,0.200475687012675
"GO:0071356","cellular response to tumor necrosis factor","BP",162,64,91,0.0345839653916778,0.0917088110995927
"GO:0015718","monocarboxylic acid transport","BP",78,19,48,0.953835541094444,0.0346047406879872
"GO:0021700","developmental maturation","BP",210,81,119,0.0353044428184637,0.0463092857913676
"GO:0051480","regulation of cytosolic calcium ion concentration","BP",255,84,144,0.458851815448275,0.035478195514697
"GO:0030199","collagen fibril organization","BP",41,16,27,0.229827257407122,0.0358577905322342
"GO:0031057","negative regulation of histone modification","BP",41,17,27,0.143881432233078,0.0358577905322342
"GO:0032768","regulation of monooxygenase activity","BP",41,13,27,0.599447841300223,0.0358577905322342
"GO:0016572","histone phosphorylation","BP",29,11,20,0.326869611642369,0.0358968008661641
"GO:0006739","NADP metabolic process","BP",29,10,20,0.477254243723698,0.0358968008661641
"GO:1904591","positive regulation of protein import","BP",29,11,20,0.326869611642369,0.0358968008661641
